repo_name,build_tool,path,instruction_missed,instruction_covered,branch_missed,branch_covered,line_missed,line_covered,complexity_missed,complexity_covered,method_missed,method_covered
drallgood/jpasskit,maven,"allgood_jpasskit/jpasskit
",1733,4138,116,205,523,947,355,457,267,383
ctripcorp/apollo,maven,"tripcorp_apollo/apollo-client-config-data
",856,257,59,10,200,72,77,38,44,36
waffle/waffle,maven,"waffle_waffle/Source/JNA/waffle-jna-jakarta
",3575,1405,350,110,861,340,346,125,147,81
orientechnologies/orientdb,maven,"ientechnologies_orientdb/distributed
",20860,15934,1925,1076,4641,3675,1849,911,612,612
iluwatar/java-design-patterns,maven,"iluwatar_java-design-patterns/factory-kit
",12,109,0,0,5,22,5,10,5,10
apache/jena,maven,"apache_jena/jena-shacl
",12337,17821,1866,1347,2640,3853,1799,1331,491,697
wikidata/wikidata-toolkit,maven,"wikidata_wikidata-toolkit/wdtk-storage
",5,1248,3,115,1,267,3,111,0,55
pippo-java/pippo,maven,"ippo-java_pippo/pippo-session-parent/pippo-session-mongodb
",71,134,0,2,16,35,5,9,5,8
iluwatar/java-design-patterns,maven,"iluwatar_java-design-patterns/priority-queue
",112,287,15,19,29,62,19,29,8,23
apache/jena,maven,"apache_jena/jena-db/jena-dboe-transaction
",2112,3391,206,186,629,978,386,376,250,312
iluwatar/java-design-patterns,maven,"iluwatar_java-design-patterns/factory
",6,74,0,0,2,16,2,10,2,10
knowm/xchange,maven,"knowm_xchange/xchange-therock
",2474,178,119,7,555,44,241,33,178,33
apache/syncope,maven,"apache_syncope/ext/flowable/common-lib
",456,456,21,9,133,118,66,50,51,50
qos-ch/slf4j,maven,"qos-ch_slf4j/slf4j-migrator
",1599,507,81,28,401,123,119,34,76,21
iluwatar/java-design-patterns,maven,"iluwatar_java-design-patterns/object-mother
",26,108,1,7,12,37,8,18,7,15
wikidata/wikidata-toolkit,maven,"wikidata_wikidata-toolkit/wdtk-rdf
",916,3786,117,197,201,911,123,206,27,135
apache/unomi,maven,"apache_unomi/scripting
",682,177,81,14,135,47,64,10,16,10
iluwatar/java-design-patterns,maven,"iluwatar_java-design-patterns/presentation
",299,367,2,10,69,66,19,35,18,30
pippo-java/pippo,maven,"ippo-java_pippo/pippo-session-parent/pippo-session-infinispan
",84,4,0,0,25,1,11,1,11,1
orbisgis/h2gis,maven,"bisgis_h2gis/h2gis-functions
",15255,41875,2302,3264,3186,9175,2122,2685,401,1561
googlecloudplatform/bank-of-anthos,maven,"googlecloudplatform_bank-of-anthos/src/transactionhistory
",623,139,39,7,157,35,58,9,37,7
confluentinc/kafka-streams-examples,maven,"fluentinc_kafka-streams-examples
",8148,5821,303,209,1614,1331,504,413,300,361
wildfly/quickstart,maven,"wildfly_quickstart/spring-kitchensink-basic
",96,105,6,0,25,25,11,13,8,13
apache/druid,maven,"apache_druid/indexing-service
",29958,53535,2672,3324,5903,11813,2870,3698,1033,2525
dropwizard/dropwizard,maven,"wizard_dropwizard/dropwizard-metrics-graphite
",18,72,0,2,6,21,1,11,1,10
hapifhir/hapi-fhir,maven,"hapifhir_hapi-fhir/hapi-fhir-cli/hapi-fhir-cli-api
",5353,4932,463,264,1106,1093,388,256,90,185
iluwatar/java-design-patterns,maven,"iluwatar_java-design-patterns/data-locality
",9,304,6,6,4,74,10,36,4,36
apache/httpcomponents-core,maven,"apache_httpcomponents-core/httpcore5
",28368,29839,2727,2886,7071,7123,3695,2793,2069,1588
sonarsource/sonar-php,maven,"arsource_sonar-php/php-frontend
",839,36804,92,1175,196,7120,196,2797,112,2237
openhab/openhab-addons,maven,"hab_openhab-addons/bundles/org.openhab.transform.scale
",347,382,21,41,78,81,38,33,26,14
hapifhir/hapi-fhir,maven,"hapifhir_hapi-fhir/hapi-fhir-batch
",79,22,0,0,22,7,6,3,6,3
dropwizard/dropwizard,maven,"wizard_dropwizard/dropwizard-request-logging
",145,268,10,10,34,77,25,30,18,27
apache/druid,maven,"apache_druid/extensions-core/postgresql-metadata-storage
",485,165,41,15,101,40,47,21,26,14
iluwatar/java-design-patterns,maven,"iluwatar_java-design-patterns/data-bus
",70,201,0,6,18,50,5,32,5,29
querydsl/querydsl,maven,"querydsl_querydsl/querydsl-codegen-utils
",1275,6560,163,389,247,1059,186,401,63,248
lettuce-io/lettuce-core,maven,"ttuce-io_lettuce-core
",68592,51650,4127,3461,12159,10832,7964,4117,5357,2914
panda-lang/panda,maven,"anda-lang_panda/panda-framework
",15014,468,953,24,3103,125,1608,55,1126,44
apolloconfig/apollo,maven,"apolloconfig_apollo/apollo-core
",2977,2808,258,235,793,663,407,240,236,163
dropwizard/dropwizard,maven,"wizard_dropwizard/dropwizard-hibernate
",141,1188,13,85,29,301,20,111,7,75
mybatis/spring-boot-starter,maven,"mybatis_spring-boot-starter/mybatis-spring-boot-samples/mybatis-spring-boot-sample-war
",37,45,0,0,4,18,3,12,3,12
querydsl/querydsl,maven,"querydsl_querydsl/querydsl-jpa
",2620,7643,222,624,560,1663,340,581,175,323
spotify/docker-client,maven,"tify_docker-client
",41048,14576,5905,930,7355,4156,5049,1541,1809,1344
apache/druid,maven,"apache_druid/processing
",34542,145386,4605,11746,6484,31483,5872,13432,2219,8817
spring-cloud/spring-cloud-netflix,maven,"ing-cloud_spring-cloud-netflix/spring-cloud-netflix-eureka-server
",2504,1995,250,70,486,479,318,156,180,134
apache/druid,maven,"apache_druid/services
",4942,2706,307,183,1024,643,355,176,162,123
dropwizard/dropwizard,maven,"wizard_dropwizard/dropwizard-http2
",28,195,0,4,12,34,8,7,8,5
querydsl/querydsl,maven,"querydsl_querydsl/querydsl-mongodb
",2369,1982,167,197,450,328,230,115,120,43
eclipse/lemminx,maven,"ipse_lemminx/org.eclipse.lemminx
",9796,60573,2101,6358,2657,14245,2181,5250,465,2621
reactiverse/es4x,maven,"activerse_es4x/codegen
",6142,1236,627,60,1271,176,483,27,145,10
pac4j/pac4j,maven,"ac4j_pac4j/pac4j-gae
",56,135,17,3,8,33,14,12,4,12
openhab/openhab-addons,maven,"hab_openhab-addons/bundles/org.openhab.binding.ihc
",6444,3354,469,145,1465,776,564,280,291,228
dcm4che/dcm4che,maven,"m4che_dcm4che/dcm4che-conf/dcm4che-conf-ldap
",9936,273,717,5,2182,44,611,14,252,12
knowm/xchange,maven,"knowm_xchange/xchange-lykke
",1484,396,54,0,291,124,114,59,87,59
knowm/xchange,maven,"knowm_xchange/xchange-paymium
",1160,298,20,4,271,93,129,28,118,26
quarkusio/quarkus-quickstarts,maven,"quarkusio_quarkus-quickstarts/microprofile-metrics-quickstart
",76,0,14,0,17,0,10,0,3,0
damianszczepanik/cucumber-reporting,maven,"amianszczepanik_cucumber-reporting
",106,5693,26,309,20,1191,25,555,1,406
revelc/formatter-maven-plugin,maven,"velc_formatter-maven-plugin
",1476,1076,185,85,312,236,133,92,32,58
pac4j/pac4j,maven,"ac4j_pac4j/pac4j-oauth
",10146,2261,423,89,2325,557,1284,185,1059,154
ta4j/ta4j,maven,"ta4j_ta4j/ta4j-core
",3019,18063,265,1124,520,3441,463,1407,217,944
knowm/xchange,maven,"knowm_xchange/xchange-stream-binance
",3096,367,146,3,707,85,303,33,227,32
quarkusio/quarkus-quickstarts,maven,"quarkusio_quarkus-quickstarts/microprofile-graphql-client-quickstart
",115,0,0,0,31,0,17,0,17,0
hapifhir/hapi-fhir,maven,"hapifhir_hapi-fhir/hapi-fhir-structures-r5
",976,384,100,40,208,85,147,22,81,18
knowm/xchange,maven,"knowm_xchange/xchange-livecoin
",1783,987,113,34,436,252,190,71,123,62
openhab/openhab-addons,maven,"hab_openhab-addons/bundles/org.openhab.binding.lifx
",13702,2446,912,23,3223,210,1464,39,998,30
pac4j/pac4j,maven,"ac4j_pac4j/pac4j-config
",1695,2406,308,230,368,556,288,133,53,97
hawtio/hawtio,maven,"hawtio_hawtio/hawtio-plugin-mbean
",106,31,8,0,32,10,14,5,10,5
mvndaemon/mvnd,maven,"mvndaemon_mvnd/integration-tests/src/test/projects/single-module
",0,5,0,0,0,2,0,2,0,2
javadev/underscore-java,maven,"javadev_underscore-java/spring-boot-example
",5,122,0,0,2,30,1,6,1,6
adorsys/keycloak-config-cli,maven,"adorsys_keycloak-config-cli
",15912,1029,1093,54,3660,268,1315,123,763,100
openhab/openhab-addons,maven,"hab_openhab-addons/bundles/org.openhab.binding.rfxcom
",10538,17113,741,427,1830,2463,819,588,336,424
openmrs/openmrs-core,maven,"mrs_openmrs-core/liquibase
",745,228,52,4,179,48,51,15,23,15
quarkusio/quarkus-quickstarts,maven,"quarkusio_quarkus-quickstarts/quartz-quickstart
",27,0,0,0,12,0,6,0,6,0
alibaba/nacos,maven,"alibaba_nacos/api
",7510,834,527,66,2094,239,1113,117,838,93
openhab/openhab-addons,maven,"hab_openhab-addons/bundles/org.openhab.binding.smartmeter
",167814,7751,15405,588,47194,2187,17608,621,9618,530
openhab/openhab-addons,maven,"hab_openhab-addons/bundles/org.openhab.binding.omnikinverter
",318,61,12,0,69,15,21,4,15,4
spring-cloud/spring-cloud-consul,maven,"ing-cloud_spring-cloud-consul/spring-cloud-consul-binder
",423,42,25,1,100,12,41,4,28,4
quarkusio/quarkus-quickstarts,maven,"quarkusio_quarkus-quickstarts/spring-web-quickstart
",30,0,0,0,10,0,6,0,6,0
knowm/xchange,maven,"knowm_xchange/xchange-core
",8272,9425,719,252,1975,1758,1160,404,739,335
jenkinsci/ec2-plugin,maven,"jenkinsci_ec2-plugin
",12693,9825,1398,719,2603,2165,1304,757,392,565
dcm4che/dcm4che,maven,"m4che_dcm4che/dcm4che-json
",834,1155,119,124,184,260,99,92,19,39
