repo_name,local_build,sat_usage,ci_build_combined,ci_state,ci_usage,cr_reviews,cr_comments,cr_changed_files,cr_changed_lines,testing_coverage
apache/mina-sshd,1.0,1,,,0,96.0,67.0,219.0,6549.0,39.27
apache/netbeans,,0,1.0,1.0,1,44.0,60.0,101.0,96042.0,
apache/nifi,0.0,1,,,0,44.0,38.0,254.0,4085.0,
apache/nutch,,0,1.0,1.0,1,24.0,30.0,424.0,24710.0,
apache/ofbiz-framework,1.0,1,1.0,1.0,1,15.0,42.0,101.0,48209.0,
apache/opennlp,1.0,1,0.0,0.0,1,42.0,30.0,158.0,1297.0,
apache/ozone,1.0,1,1.0,1.0,1,60.0,49.0,197.0,277703.0,
apache/parquet-mr,0.0,0,1.0,1.0,1,47.0,92.0,74.0,2678.0,
apache/phoenix,1.0,1,,,0,43.0,58.0,167.0,6333.0,
apache/pinot,1.0,1,1.0,1.0,1,95.0,39.0,113.0,751430.0,34.57
apache/plc4x,0.0,0,,,0,44.0,32.0,493.0,799515.0,
apache/poi,0.0,0,1.0,1.0,1,,,,,
apache/pulsar,1.0,1,,,0,144.0,69.0,165.0,100957.0,34.21
apache/pulsar-manager,1.0,0,1.0,1.0,1,49.0,10.0,72.0,1143.0,
apache/ratis,1.0,1,,,0,65.0,37.0,46.0,1006.0,
apache/rocketmq,1.0,1,1.0,1.0,1,60.0,40.0,103.0,13084.0,
apache/rocketmq-externals,,1,1.0,1.0,1,43.0,23.0,166.0,12076.0,
apache/samza,0.0,1,1.0,1.0,1,94.0,24.0,286.0,34713.0,
apache/servicecomb-java-chassis,0.0,1,1.0,1.0,1,19.0,17.0,280.0,7740.0,
apache/shardingsphere,1.0,1,1.0,1.0,1,49.0,21.0,189.0,6140.0,84.38
apache/shardingsphere-elasticjob,1.0,1,1.0,1.0,1,20.0,21.0,105.0,1476.0,77.42
apache/shiro,1.0,0,0.0,0.0,1,51.0,17.0,109.0,2598.0,
apache/skywalking,0.0,1,1.0,1.0,1,68.0,67.0,383.0,4142.0,
apache/solr,0.0,0,,,0,91.0,31.0,210.0,499671.0,
apache/storm,0.0,1,0.0,0.0,1,112.0,8.0,260.0,4337.0,
apache/struts,0.0,0,1.0,1.0,1,40.0,67.0,276.0,30700.0,
apache/submarine,0.0,1,,,0,27.0,29.0,75.0,3598.0,
apache/syncope,1.0,1,,,0,24.0,21.0,1721.0,175360.0,11.48
apache/systemds,1.0,0,1.0,1.0,1,2.0,14.0,203.0,10062.0,
apache/tika,0.0,1,1.0,1.0,1,13.0,16.0,480.0,2066346.0,
apache/tinkerpop,1.0,0,,,0,6.0,17.0,269.0,13041.0,
apache/tomcat,,1,0.0,0.0,1,45.0,21.0,114.0,2776.0,
apache/tomee,0.0,1,1.0,1.0,1,33.0,27.0,308.0,136553.0,
apache/unomi,1.0,0,0.0,0.0,1,41.0,3.0,65.0,2049.0,3.15
apache/wicket,0.0,0,1.0,1.0,1,121.0,88.0,420.0,25253.0,
apache/zeppelin,0.0,1,1.0,0.0,1,53.0,70.0,212.0,31047.0,
apache/zookeeper,1.0,1,0.0,0.0,1,,,,,0.44
apereo/cas,0.0,1,,,0,13.0,60.0,69.0,27564.0,
apereo/java-cas-client,0.0,0,1.0,1.0,1,0.0,1.0,21.0,96.0,
apicurio/apicurio-registry,1.0,1,1.0,1.0,1,68.0,32.0,225.0,24276.0,75.0
apiman/apiman,1.0,0,1.0,1.0,1,33.0,13.0,70.0,4047.0,
apolloconfig/apollo,1.0,0,1.0,1.0,1,83.0,54.0,132.0,30960.0,47.67
apollographql/apollo-android,,1,1.0,1.0,1,20.0,9.0,642.0,82640.0,
appium/appium-uiautomator2-server,,0,1.0,1.0,1,28.0,9.0,107.0,3057.0,
appium/java-client,1.0,0,,,0,26.0,4.0,26.0,236.0,
appiumtestdistribution/appiumtestdistribution,1.0,1,1.0,1.0,1,12.0,17.0,189.0,15063.0,7.98
apple/servicetalk,1.0,1,,,0,180.0,22.0,239.0,30380.0,
appliedenergistics/applied-energistics-2,0.0,0,1.0,1.0,1,32.0,41.0,1792.0,114254.0,
aptoide/aptoide-client-v8,,0,,,0,21.0,4.0,627.0,64865.0,
arduino/arduino,,0,1.0,1.0,1,23.0,41.0,188.0,17206.0,
arquillian/arquillian-core,1.0,0,1.0,1.0,1,46.0,23.0,40.0,2228.0,
artipie/artipie,0.0,0,1.0,0.0,1,32.0,54.0,75.0,9888.0,
asciidoctor/asciidoctor-intellij-plugin,1.0,1,,,0,0.0,14.0,21.0,227.0,
asciidoctor/asciidoctor-maven-plugin,1.0,0,1.0,1.0,1,8.0,31.0,95.0,1145.0,79.15
asciidoctor/asciidoctorj,1.0,0,1.0,1.0,1,3.0,15.0,73.0,949.0,10.47
assertj/assertj-core,1.0,0,,,0,9.0,6.0,88.0,6965.0,89.95
asterisk-java/asterisk-java,0.0,1,,,0,4.0,17.0,86.0,47003.0,
asynchttpclient/async-http-client,0.0,0,0.0,0.0,1,9.0,54.0,83.0,2464.0,
athenz/athenz,0.0,1,,1.0,1,72.0,4.0,212.0,9222.0,
athou/commafeed,0.0,0,,,0,0.0,21.0,79.0,6929.0,
atmosphere/atmosphere,1.0,1,0.0,0.0,1,9.0,15.0,27.0,325.0,
atomix/atomix,0.0,1,,,0,60.0,65.0,76.0,1733.0,
auth0/auth0-java,1.0,0,1.0,1.0,1,34.0,2.0,120.0,4907.0,98.06
auth0/java-jwt,1.0,0,1.0,0.0,1,30.0,32.0,51.0,1208.0,
auth0/lock.android,,0,1.0,1.0,1,49.0,3.0,91.0,2599.0,
authme/authmereloaded,1.0,1,0.0,0.0,1,1.0,4.0,20.0,395.0,60.57
authorjapps/zerocode,1.0,0,,,0,40.0,35.0,96.0,3901.0,64.81
automattic/simplenote-android,,0,1.0,1.0,1,222.0,50.0,101.0,8457.0,
aws-amplify/amplify-android,,1,,,0,111.0,11.0,126.0,29740.0,
aws-amplify/aws-sdk-android,,0,1.0,0.0,1,44.0,15.0,1376.0,442432.0,
aws/aws-encryption-sdk-java,1.0,0,,,0,34.0,11.0,490.0,198870.0,82.71
aws/aws-sdk-java,0.0,0,,,0,19.0,35.0,252.0,893.0,
aws/aws-sdk-java-v2,0.0,1,,,0,102.0,36.0,771.0,171222.0,
awsdocs/aws-doc-sdk-examples,,0,1.0,1.0,1,4.0,0.0,262.0,3532852.0,
awsdocs/aws-lambda-developer-guide,,0,,,0,1.0,22.0,32.0,500.0,
awslabs/amazon-kinesis-client,0.0,0,1.0,1.0,1,43.0,8.0,48.0,548.0,
