repo_name,last_commit_sha,pull_number,count_review_requests,count_all_reviews,count_all_review_comments,count_all_comments,count_changed_files,count_total_changed_lines
adempiere/adempiere,33a4c02cb45c0705085fde70847639bd15d4a667,3557,1,1,0,0,1,33
adempiere/adempiere,33a4c02cb45c0705085fde70847639bd15d4a667,3556,0,1,0,0,3,1233
adempiere/adempiere,33a4c02cb45c0705085fde70847639bd15d4a667,3553,1,2,0,0,1,1574
adempiere/adempiere,33a4c02cb45c0705085fde70847639bd15d4a667,3552,0,0,0,0,13,1271
adempiere/adempiere,33a4c02cb45c0705085fde70847639bd15d4a667,3550,1,0,0,0,1,19
aditya109/git-osp-for-beginners,e7683f2af9c411c5825b3570443251f7f364bbd6,396,0,0,0,0,1,26
aditya109/git-osp-for-beginners,e7683f2af9c411c5825b3570443251f7f364bbd6,395,0,0,0,0,1,50
aditya109/git-osp-for-beginners,e7683f2af9c411c5825b3570443251f7f364bbd6,394,0,0,0,0,1,26
aditya109/git-osp-for-beginners,e7683f2af9c411c5825b3570443251f7f364bbd6,392,0,1,0,1,1,26
aditya109/git-osp-for-beginners,e7683f2af9c411c5825b3570443251f7f364bbd6,391,0,0,0,1,1,29
aditya109/git-osp-for-beginners,e7683f2af9c411c5825b3570443251f7f364bbd6,389,0,1,0,1,1,41
aditya109/git-osp-for-beginners,e7683f2af9c411c5825b3570443251f7f364bbd6,388,0,1,0,1,1,55
aditya109/git-osp-for-beginners,e7683f2af9c411c5825b3570443251f7f364bbd6,386,0,1,0,1,4,150
aditya109/git-osp-for-beginners,e7683f2af9c411c5825b3570443251f7f364bbd6,384,0,2,0,1,3,107
aditya109/git-osp-for-beginners,e7683f2af9c411c5825b3570443251f7f364bbd6,383,0,1,0,1,3,76
aditya109/git-osp-for-beginners,e7683f2af9c411c5825b3570443251f7f364bbd6,381,0,1,0,1,1,11
aditya109/git-osp-for-beginners,e7683f2af9c411c5825b3570443251f7f364bbd6,380,0,1,0,1,1,19
aditya109/git-osp-for-beginners,e7683f2af9c411c5825b3570443251f7f364bbd6,379,0,1,0,1,1,31
aditya109/git-osp-for-beginners,e7683f2af9c411c5825b3570443251f7f364bbd6,378,0,1,0,2,1,23
aditya109/git-osp-for-beginners,e7683f2af9c411c5825b3570443251f7f364bbd6,376,0,1,0,1,3,76
aditya109/git-osp-for-beginners,e7683f2af9c411c5825b3570443251f7f364bbd6,374,0,1,0,1,2,84
aditya109/git-osp-for-beginners,e7683f2af9c411c5825b3570443251f7f364bbd6,373,0,1,0,1,1,18
aditya109/git-osp-for-beginners,e7683f2af9c411c5825b3570443251f7f364bbd6,370,0,0,0,1,1,26
aditya109/git-osp-for-beginners,e7683f2af9c411c5825b3570443251f7f364bbd6,364,0,2,0,2,1,26
aditya109/git-osp-for-beginners,e7683f2af9c411c5825b3570443251f7f364bbd6,360,0,1,0,1,2,27
adjust/android_sdk,b57fec0d1e189ec308105771ff892d93aa7c7eb0,500,0,0,0,0,1,2
adjust/android_sdk,b57fec0d1e189ec308105771ff892d93aa7c7eb0,499,0,0,0,0,33,488
adjust/android_sdk,b57fec0d1e189ec308105771ff892d93aa7c7eb0,495,0,0,0,0,3,155
adjust/android_sdk,b57fec0d1e189ec308105771ff892d93aa7c7eb0,493,0,0,0,0,26,248
adjust/android_sdk,b57fec0d1e189ec308105771ff892d93aa7c7eb0,492,0,0,0,0,28,197
adjust/android_sdk,b57fec0d1e189ec308105771ff892d93aa7c7eb0,490,0,0,0,0,35,867
adjust/android_sdk,b57fec0d1e189ec308105771ff892d93aa7c7eb0,487,0,0,0,0,1,45
adjust/android_sdk,b57fec0d1e189ec308105771ff892d93aa7c7eb0,486,0,0,0,0,36,3910
adjust/android_sdk,b57fec0d1e189ec308105771ff892d93aa7c7eb0,482,0,0,0,2,1,8
adjust/android_sdk,b57fec0d1e189ec308105771ff892d93aa7c7eb0,481,0,3,0,8,1,6
adjust/android_sdk,b57fec0d1e189ec308105771ff892d93aa7c7eb0,480,0,0,0,0,1,31
adjust/android_sdk,b57fec0d1e189ec308105771ff892d93aa7c7eb0,478,0,0,0,0,24,73
adjust/android_sdk,b57fec0d1e189ec308105771ff892d93aa7c7eb0,477,0,0,0,0,29,155
adjust/android_sdk,b57fec0d1e189ec308105771ff892d93aa7c7eb0,469,0,0,0,0,87,4696
adjust/android_sdk,b57fec0d1e189ec308105771ff892d93aa7c7eb0,463,0,0,0,0,1,75
adjust/android_sdk,b57fec0d1e189ec308105771ff892d93aa7c7eb0,462,0,0,0,0,1,12570
adjust/android_sdk,b57fec0d1e189ec308105771ff892d93aa7c7eb0,461,0,0,0,0,52,497
adjust/android_sdk,b57fec0d1e189ec308105771ff892d93aa7c7eb0,453,0,0,0,0,29,114
adjust/android_sdk,b57fec0d1e189ec308105771ff892d93aa7c7eb0,452,0,0,0,0,33,1194
adjust/android_sdk,b57fec0d1e189ec308105771ff892d93aa7c7eb0,449,0,0,0,0,50,1333
adobe-consulting-services/acs-aem-commons,dcd311ec51f1d4d742e39e235eee674c9b45cc59,2657,1,1,0,1,4,132
